county,2005,2006,2007,2008,2009,2010,2011,2012,2013
530113,,,,,,,1,,
530121,,,,,,1,1,,
530122,2,,,,,1,,1,
530125,,,,,,1,,2,1
530126,,,,2,2,4,2,,1
530127,,,,1,1,1,3,,
530128,,,,,,,,2,1
530129,,,,2,2,2,2,,
530302,,,1,3,,,4,,4
530321,,,,,,,1,1,1
530322,1,,,4,1,2,2,2,3
530323,,,,8,,5,,,
530324,,,10,16,,,6,2,1
530325,,20,1,,1,,,2,1
530326,,,1,1,,2,1,,
530328,,,,,,,,1,
530381,,,1,2,2,3,3,1,
530421,,,,,,1,,,1
530422,,,,,,2,1,,
530424,,,,,1,4,1,4,
530425,,,,,,,1,,
530427,,,,,,,,1,
530428,,,,,,4,,2,1
530502,,1,,,,,,,
530521,,,,,,,,,1
530522,,,2,,,1,,,
530524,,,,,,,,,3
530602,,,13,6,1,1,1,,1
530621,,,7,8,1,1,,,1
530622,,,,,3,2,,,
530623,,1,2,2,1,1,1,1,
530624,,,,3,1,1,,,
530625,,,2,,1,,,,
530626,,,1,,,,,,
530627,,,7,8,9,2,2,2,5
530628,,,1,8,1,2,1,,
530629,,,4,4,1,,,,
530630,,,1,,,1,,,
530724,1,,,,,,,,
530802,,,,,,2,,,
530821,,,,,,,1,,
530822,,,,,,3,3,6,2
530825,,,,,,,1,,1
530826,,,,,,1,1,,
530827,,,,,,,,1,2
530828,,,,,,1,3,6,4
530921,,,,,,,,2,2
530923,,,,,,,,,1
530924,,,,,,,,,1
530925,,,,,1,,,1,2
530926,,,,,,,,,1
530927,,1,,,,,,1,
532323,,5,,,,,,,
532326,,,,,,,1,,
532327,,,,,,,1,2,
532501,,,,,1,1,2,2,
532502,,,,,,3,4,,
532503,,,,,,,,4,2
532522,,,,,,3,3,,
532523,,,,,,4,1,2,1
532524,,,,,,2,2,2,1
532525,,,,,,,3,,1
532526,,,,7,11,6,4,1,3
532527,,,,12,2,4,3,2,1
532528,,,,,6,,1,,2
532529,,,,,3,9,3,4,
532530,,,,,1,8,1,,
532531,,,,,1,,1,,
532532,,,,,1,,,,
532601,,,,,,,,,3
532621,,,,,1,8,6,,
532622,,,1,,,15,7,1,4
532623,,,,,,1,,,1
532624,,,,,,1,4,,3
532625,,,,,,2,2,2,2
532626,,,1,,1,1,3,,1
532627,,,1,10,11,7,12,3,2
532628,2,3,6,,2,1,1,,1
532801,,,,1,2,5,4,8,1
532822,,,,,,,1,5,4
532823,,,,,,,3,1,
532923,,,,,,,,,1
533102,,,,,,,,1,
533103,1,,,,,,,,2
533122,,1,1,,,,,,
533123,3,5,2,,,,,,1
533124,1,,,,,,1,,
610111,,,,,,,,1,
610116,,,,,,,,3,4
610124,,,,,,,,3,2
610126,,,,,,,1,,
610303,,,,,,,,1,
610322,,,,,,,,,1
610323,,,,,,,,,2
610324,,,,,,,,1,1
610326,,,,,,,,,2
610402,,,,,,,,1,1
610422,,,,,,,3,2,
610423,,,,,,,1,2,2
610424,,,,,,,,1,2
610425,,,,,,,,1,1
610426,,,,,,,,,2
610430,,,,,,,,,2
610431,,,,,,,,1,1
610481,,,,,,,,,1
610502,,,,,,2,5,3,3
610521,,,,,,,2,1,1
610522,,,,,,,1,1,
610523,,,,,,,2,2,1
610524,,,,,,,5,1,
610525,,,,,,,2,1,
610526,,,,,,1,8,2,2
610527,,,,,,,1,,
610528,,,,,,,3,1,1
610581,,,,,,2,,1,
610582,,,,,,,1,,1
610602,,,,,,,1,,
610621,1,,,,,,,,
610623,,,,,,,,,1
610629,,,,,,,,1,
610702,,,,,2,2,1,5,2
610721,,,,,2,3,2,4,4
610722,,,,,7,4,2,1,1
610723,,,,,6,2,,,1
610724,,,,,7,2,1,,
610725,,,,,1,1,,1,3
610821,,1,,,,,,,
610902,1,,,,,1,,,
610927,,,,,,,,1,
610928,,,,,,1,,,
611002,,,,,1,,,1,2
611021,,,,,,,,1,
611022,,,,,,,,,1
611026,,1,,,,,,,
611101,,,,,,,,1,
619081,,,,,,,,,1
619999,1,,,,,,,,
620523,,,,,,,,,1
620525,,,,,,,,,1
620821,,,,,,,,,2
620825,,,,,1,,,,
621025,,,,,,,,,2
621026,,,,,,,,,3
632323,,,,,,,,,1
632626,,,,,,,,1,
640104,,,,,,,,,2
640105,,,,,,,1,,2
640121,,,,,,,1,,
640205,,,,,,,,1,
640221,,,,,,,,1,1
640302,,,,,,,,,1
640303,,,,,,,,,1
640402,,,,,,,,1,1
650203,,,,,,,1,,
654002,,,,1,,,,,
654201,1,,,,,,,,
654202,,,,,,,1,,
