code,name,nameE2,preCode,nameE
522300,黔西南布依族苗族自治州,qian xi nan bu yi zu miao zu zi zhi zhou ,5223,qian xi nan bu yi zu miao zu zi zhi zhou
532300,楚雄彝族自治州,chu xiong yi zu zi zhi zhou ,5323,chu xiong yi zu zi zhi zhou
542300,日喀则地区,ri ka ze di qu ,5423,ri ka ze di qu
632300,黄南藏族自治州,huang nan cang zu zi zhi zhou ,6323,huang nan cang zu zi zhi zhou
652300,昌吉回族自治州,chang ji hui zu zi zhi zhou ,6523,chang ji hui zu zi zhi zhou
222400,延边朝鲜族自治州,yan bian chao xian zu zi zhi zhou ,2224,yan bian chao xian zu zi zhi zhou
542400,那曲地区,na qu di qu ,5424,na qu di qu
152500,锡林郭勒盟,xi lin guo le meng ,1525,xi lin guo le meng
532500,红河哈尼族彝族自治州,hong he ha ni zu yi zu zi zhi zhou ,5325,hong he ha ni zu yi zu zi zhi zhou
542500,阿里地区,a li di qu ,5425,a li di qu
632500,海南藏族自治州,hai nan cang zu zi zhi zhou ,6325,hai nan cang zu zi zhi zhou
522600,黔东南苗族侗族自治州,qian dong nan miao zu dong zu zi zhi zhou ,5226,qian dong nan miao zu dong zu zi zhi zhou
532600,文山壮族苗族自治州,wen shan zhuang zu miao zu zi zhi zhou ,5326,wen shan zhuang zu miao zu zi zhi zhou
542600,林芝地区,lin zhi di qu ,5426,lin zhi di qu
632600,果洛藏族自治州,guo luo cang zu zi zhi zhou ,6326,guo luo cang zu zi zhi zhou
232700,大兴安岭地区,da xing an ling di qu ,2327,da xing an ling di qu
522700,黔南布依族苗族自治州,qian nan bu yi zu miao zu zi zhi zhou ,5227,qian nan bu yi zu miao zu zi zhi zhou
632700,玉树藏族自治州,yu shu cang zu zi zhi zhou ,6327,yu shu cang zu zi zhi zhou
652700,博尔塔拉蒙古自治州,bo dong ta la meng gu zi zhi zhou ,6527,bo dong ta la meng gu zi zhi zhou
422800,恩施土家族苗族自治州,dong shi tu jia zu miao zu zi zhi zhou ,4228,dong shi tu jia zu miao zu zi zhi zhou
532800,西双版纳傣族自治州,xi shuang ban na dai zu zi zhi zhou ,5328,xi shuang ban na dai zu zi zhi zhou
632800,海西蒙古族藏族自治州,hai xi meng gu zu cang zu zi zhi zhou ,6328,hai xi meng gu zu cang zu zi zhi zhou
652800,巴音郭楞蒙古自治州,ba yin guo leng meng gu zi zhi zhou ,6528,ba yin guo leng meng gu zi zhi zhou
152900,阿拉善盟,a la shan meng ,1529,a la shan meng
532900,大理白族自治州,da li bai zu zi zhi zhou ,5329,da li bai zu zi zhi zhou
622900,临夏回族自治州,lin xia hui zu zi zhi zhou ,6229,lin xia hui zu zi zhi zhou
652900,阿克苏地区,a ke su di qu ,6529,a ke su di qu
623000,甘南藏族自治州,gan nan cang zu zi zhi zhou ,6230,gan nan cang zu zi zhi zhou
653000,克孜勒苏柯尔克孜自治州,ke zi le su ke dong ke zi zi zhi zhou ,6530,ke zi le su ke dong ke zi zi zhi zhou
433100,湘西土家族苗族自治州,xiang xi tu jia zu miao zu zi zhi zhou ,4331,xiang xi tu jia zu miao zu zi zhi zhou
533100,德宏傣族景颇族自治州,de hong dai zu jing po zu zi zhi zhou ,5331,de hong dai zu jing po zu zi zhi zhou
653100,喀什地区,ka shi di qu ,6531,ka shi di qu
513200,阿坝藏族羌族自治州,a ba cang zu qiang zu zi zhi zhou ,5132,a ba cang zu qiang zu zi zhi zhou
653200,和田地区,he tian di qu ,6532,he tian di qu
513300,甘孜藏族自治州,gan zi cang zu zi zhi zhou ,5133,gan zi cang zu zi zhi zhou
533300,怒江傈僳族自治州,nu jiang li su zu zi zhi zhou ,5333,nu jiang li su zu zi zhi zhou
513400,凉山彝族自治州,liang shan yi zu zi zhi zhou ,5134,liang shan yi zu zi zhi zhou
533400,迪庆藏族自治州,di qing cang zu zi zhi zhou ,5334,di qing cang zu zi zhi zhou
654000,伊犁哈萨克自治州,yi li ha sa ke zi zhi zhou ,6540,yi li ha sa ke zi zhi zhou
654200,塔城地区,ta cheng di qu ,6542,ta cheng di qu
654300,阿勒泰地区,a le tai di qu ,6543,a le tai di qu
445100,潮州市,chao zhou shi ,4451,chao zhou shi
445200,揭阳市,jie yang shi ,4452,jie yang shi
445300,云浮市,yun fu shi ,4453,yun fu shi
419000,省直辖县级行政区划,sheng zhi xia xian ji xing zheng qu hua ,4190,sheng zhi xia xian ji xing zheng qu hua
429000,省直辖县级行政区划,sheng zhi xia xian ji xing zheng qu hua ,4290,sheng zhi xia xian ji xing zheng qu hua
469000,省直辖县级行政区划,sheng zhi xia xian ji xing zheng qu hua ,4690,sheng zhi xia xian ji xing zheng qu hua
659000,自治区直辖县级行政区划,zi zhi qu zhi xia xian ji xing zheng qu hua ,6590,zi zhi qu zhi xia xian ji xing zheng qu hua
